City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,superior,46.7208,-92.1041,9.87,66,0,6.17,US,1699835679
265,nefta,33.8731,7.8777,19.14,38,1,2.16,TN,1699835679
266,san pedro de ycuamandiyu,-24.0917,-57.0764,35.42,29,77,3.33,PY,1699835679
267,hermanus,-34.4187,19.2345,14.21,86,3,3.52,ZA,1699835680
268,olyokminsk,60.3736,120.4264,-11.61,93,100,1.44,RU,1699835680
269,jining,35.405,116.5814,3.32,29,100,0.52,CN,1699835680
270,yuzhno-kurilsk,44.0306,145.8556,2.43,80,53,2.45,RU,1699835680
271,bargaal,11.2864,51.0773,26.98,77,58,5.71,SO,1699835680
272,nova xavantina,-14.6667,-52.35,29.46,37,85,1.95,BR,1699835680
273,guapiles,10.2159,-83.7866,27.07,97,100,1.3,CR,1699835681
274,kapa'a,22.0752,-159.319,28.99,78,75,8.75,US,1699835681
275,rockport,28.0206,-97.0544,17.22,91,100,5.66,US,1699835681
276,al qusiyah,27.4402,30.8184,23.34,56,3,3.59,EG,1699835681
277,chibuto,-24.6867,33.5306,21.87,66,100,5.01,MZ,1699835681
278,sitka,57.0531,-135.33,7.94,61,0,0.0,US,1699835564
279,neryungri,56.6709,124.6491,-12.5,90,95,3.37,RU,1699835682
280,mouila,-1.8685,11.0559,23.52,99,98,0.38,GA,1699835682
281,chui,-33.6971,-53.4616,15.35,90,98,2.89,UY,1699835682
282,rabaul,-4.1967,152.1721,28.47,68,100,3.36,PG,1699835682
283,buckeye,33.3703,-112.5838,27.45,20,0,2.57,US,1699835396
284,toyooka,35.5333,134.8333,7.03,87,75,3.09,JP,1699835683
285,fortaleza,-3.7227,-38.5247,27.82,79,20,5.66,BR,1699835627
286,khamharia,20.9833,82.2667,18.3,66,95,0.61,IN,1699835683
287,sandnessjoen,66.0217,12.6316,-6.71,68,17,5.6,NO,1699835683
288,kantang,7.4054,99.5156,25.05,100,40,1.03,TH,1699835683
289,vadso,70.0744,29.7487,-4.91,93,100,6.17,NO,1699835684
290,al badari,26.9926,31.4155,24.24,48,0,2.79,EG,1699835684
291,yanchep,-31.55,115.6833,22.19,67,100,4.71,AU,1699835684
292,oyem,1.5995,11.5793,20.38,99,100,0.58,GA,1699835684
293,la'ie,21.6477,-157.9253,27.98,73,19,4.47,US,1699835684
294,aasiaat,68.7098,-52.8699,-14.47,84,17,1.23,GL,1699835563
295,novyy urengoy,66.0833,76.6333,-9.52,90,11,6.4,RU,1699835685
296,puerto santa,-8.9906,-78.6456,19.37,85,99,4.55,PE,1699835685
297,zhigulevsk,53.3997,49.4953,3.32,80,100,9.06,RU,1699835685
298,mazagao,-0.115,-51.2894,30.03,69,5,2.93,BR,1699835685
299,sogndal,61.2283,7.1003,-0.79,93,75,0.0,NO,1699835686
